"SurveyResponseID","AnswerNumber","AnswerYN","AmenityType"
3496728,246,"Yes","Activities"
3502519,142,"No","All"
3502340,178,"Yes","Activities"
3502517,195,"Yes","Activities"
3503237,189,"Yes","Accommodation"
3503237,190,"Yes","Activities"
3503678,195,"No","All"
3503603,140,"Yes","Accommodation"
3503689,166,"Yes","Accommodation"
3497703,130,"Yes","Activities"
3503689,168,"Yes","Activities"
3522875,197,"Yes","Accommodation"
3503689,167,"Yes","Transport"
3522900,151,"Yes","Accommodation"
3522930,158,"Yes","Accommodation"
3503335,157,"Yes","Activities"
3523373,292,"No","All"
3522900,153,"Yes","Activities"
3523275,184,"Yes","Activities"
3497046,153,"Yes","Transport"
3523659,161,"Yes","Accommodation"
3523284,144,"Yes","Accommodation"
3523284,146,"Yes","Activities"
3523323,182,"No","All"
3522900,152,"Yes","Transport"
3523707,163,"Yes","Accommodation"
3523866,151,"Yes","Activities"
3523886,151,"No","All"
3523777,161,"No","All"
3523868,179,"Yes","Activities"
3523866,150,"Yes","Accommodation"
3524813,136,"Yes","Accommodation"
3523284,145,"Yes","Transport"
3524813,137,"Yes","Transport"
3524872,222,"Yes","Accommodation"
3523668,139,"Yes","Activities"
3186414,196,"Yes","Activities"
3337752,142,"Yes","Accommodation"
3337588,139,"Yes","Accommodation"
3337603,123,"Yes","Accommodation"
